site_id,lat,lon,pft,parameter,response_var,coefficient_of_variation,elasticity,partial_variance,sensitivity,variance_explained
1e782bbd9aba2833,37.96339,-121.41258,grass,GDD,NPP,0.46532505164335386,-1.3504474712100945,0.017485847174689276,1.640625525874622e-11,1.7485847174689275
1e782bbd9aba2833,37.96339,-121.41258,grass,psnTOpt,NPP,0.007610358515748966,1.2150480669351449,9.466600309333803e-4,2.431133509341148e-10,0.09466600309333803
1e782bbd9aba2833,37.96339,-121.41258,grass,half_saturation_PAR,NPP,0.4282583546535079,1.0777470786765881,0.06914049827743073,-1.1111533943353062e-9,6.914049827743073
1e782bbd9aba2833,37.96339,-121.41258,grass,leaf_respiration_rate_m2,NPP,0.3832377053035218,1.022280604095641,0.03425066504005053,-2.8513904835417418e-8,3.425066504005053
1e782bbd9aba2833,37.96339,-121.41258,grass,Vm_low_temp,NPP,0.0037438905433444156,0.9981917881449521,0.0993654609518551,5.375217723838998e-9,9.93654609518551
1e782bbd9aba2833,37.96339,-121.41258,grass,stem_respiration_rate,NPP,0.5736585334331054,0.8176896720823406,0.23709201143354267,-3.607764730604069e-10,23.709201143354267
1e782bbd9aba2833,37.96339,-121.41258,grass,growth_resp_factor,NPP,0.4132613073465301,-0.8149537712532381,0.018716174430253304,2.707401686921881e-8,1.8716174430253303
1e782bbd9aba2833,37.96339,-121.41258,grass,leaf_turnover_rate,NPP,0.8761489304544976,-0.43663177184740415,0.0402625117074126,3.5048091700400854e-9,4.0262511707412605
1e782bbd9aba2833,37.96339,-121.41258,grass,dVPDSlope,NPP,0.5266968206615892,0.4308356453205305,0.03534830542929922,-1.8191041176124104e-8,3.534830542929922
1e782bbd9aba2833,37.96339,-121.41258,grass,leafGrowth,NPP,0.5781871273965496,0.28131414899284474,0.09071368125916782,-1.606375985808835e-11,9.071368125916782
1e782bbd9aba2833,37.96339,-121.41258,grass,extinction_coefficient,NPP,0.1383292516674499,0.13475702278081986,0.007895778801982853,-2.7231802263895255e-9,0.7895778801982852
1e782bbd9aba2833,37.96339,-121.41258,grass,root_turnover_rate,NPP,3.460043964015096,0.12153412810414234,0.022209573916170924,-6.273505824984262e-9,2.2209573916170924
1e782bbd9aba2833,37.96339,-121.41258,grass,root_respiration_rate,NPP,1.1959692923393643,0.04252712802338289,0.12524261896538816,-4.1867492716828566e-11,12.524261896538816
1e782bbd9aba2833,37.96339,-121.41258,grass,fine_root_respiration_Q10,NPP,0.3253878667926847,-0.02184830922056544,0.024662049936092487,6.16942761078353e-11,2.4662049936092485
1e782bbd9aba2833,37.96339,-121.41258,grass,fracLeafFall,TotSoilCarb,0.002903402909558214,-29.00817375051664,0.0021436780428647773,-281.2086773384287,0.21436780428647773
1e782bbd9aba2833,37.96339,-121.41258,grass,leafC,TotSoilCarb,0.08270831696914949,-10.994394931035322,0.07051587578624346,-1.5414974653144646,7.051587578624346
1e782bbd9aba2833,37.96339,-121.41258,grass,Amax,TotSoilCarb,0.09358925848729428,4.098537583915812,0.07752873740519627,2.199626295351732,7.752873740519626
1e782bbd9aba2833,37.96339,-121.41258,grass,dVpdExp,TotSoilCarb,0.28697077347762856,-2.460957422124217,0.047125803661408366,-6.966013111309084,4.712580366140837
1e782bbd9aba2833,37.96339,-121.41258,grass,AmaxFrac,TotSoilCarb,0.11567497255742348,-2.2528491101112746,0.02400734572570771,-21.629312982985034,2.4007345725707707
1e782bbd9aba2833,37.96339,-121.41258,grass,coarse_root_respiration_Q10,TotSoilCarb,0.32746213648895234,-2.13365018906475,0.06253435752532534,-4.5405539104974695,6.253435752532534
1e782bbd9aba2833,37.96339,-121.41258,grass,extinction_coefficient,TotSoilCarb,0.1383292516674499,-1.1777458828201144,0.020937913941814556,-25.631719571504107,2.0937913941814554
1e782bbd9aba2833,37.96339,-121.41258,grass,dVPDSlope,TotSoilCarb,0.5266968206615892,-1.0516112584378565,0.04051987664222143,-64.4007398426356,4.0519876642221435
1e782bbd9aba2833,37.96339,-121.41258,grass,Vm_low_temp,TotSoilCarb,0.0037438905433444156,0.9964117434648528,0.3743249009223707,-6.364674344467506,37.43249009223707
1e782bbd9aba2833,37.96339,-121.41258,grass,SLA,TotSoilCarb,0.49163032965929954,0.8930160029819463,0.0186447821748149,0.6215490143793703,1.86447821748149
1e782bbd9aba2833,37.96339,-121.41258,grass,GDD,TotSoilCarb,0.46532505164335386,-0.8141404126597815,0.022308394229721477,-0.009444430712808722,2.2308394229721475
1e782bbd9aba2833,37.96339,-121.41258,grass,leaf_turnover_rate,TotSoilCarb,0.8761489304544976,-0.5769369745947956,0.04112359467483529,-4.427734638237444,4.112359467483529
